"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"0600000US2500568750","Swansea town, Bristol County, Massachusetts","6361","226","3.5","1.9","1.5","1.4","5.4","2.0","8.3","2.8","7.9","2.2","15.8","3.7","18.3","3.9","23.3","4.4","9.6","2.6","6.4","2.1","86637","7116","94207","5506","40.7","(X)","(X)","(X)","(X)","(X)","4766","192","1.4","1.4","0.0","0.7","2.1","1.4","5.1","2.7","7.2","2.6","17.5","4.4","19.9","4.4","27.2","5.5","12.2","3.4","7.2","2.3","98056","4371","106403","6016","(X)","(X)","44.6","(X)","(X)","(X)","3974","243","0.8","1.2","0.0","0.9","1.8","1.5","4.9","2.8","6.4","2.7","12.9","4.3","21.4","5.2","28.6","6.1","14.7","3.9","8.5","2.8","103092","8635","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1595","282","9.8","6.4","5.9","5.6","15.0","6.3","17.9","7.6","9.8","4.9","17.5","6.0","11.3","5.2","7.8","4.6","2.5","2.9","2.4","2.9","37846","12400","52869","8713","(X)","(X)","(X)","(X)","27.9","(X)"
"0600000US2500569170","Taunton city, Bristol County, Massachusetts","22359","488","6.7","1.4","4.9","1.0","7.8","1.3","10.1","1.7","11.2","1.2","15.3","1.8","15.0","1.6","17.0","1.9","7.1","1.1","5.0","0.9","62865","5276","80085","2937","42.6","(X)","(X)","(X)","(X)","(X)","14272","390","4.2","1.6","3.0","1.3","6.8","1.5","7.4","1.6","10.2","1.5","14.1","2.2","16.9","2.2","21.7","2.6","9.1","1.5","6.6","1.5","81683","4466","91954","4070","(X)","(X)","42.2","(X)","(X)","(X)","9098","421","1.7","1.1","2.0","1.1","4.3","1.7","3.0","1.2","8.0","1.8","12.7","2.5","20.2","2.9","28.0","3.3","11.6","2.1","8.3","1.8","96970","4740","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8087","559","11.7","3.2","9.2","2.2","12.3","2.6","15.9","3.5","12.0","2.1","16.9","3.1","10.7","2.3","8.2","2.1","1.5","1.0","1.6","0.8","36152","4837","52643","4922","(X)","(X)","(X)","(X)","40.3","(X)"
"0600000US2500577570","Westport town, Bristol County, Massachusetts","6525","224","2.6","1.2","3.9","2.0","9.7","2.8","6.7","2.0","8.8","2.8","16.0","3.6","12.6","2.7","22.3","4.0","9.1","2.3","8.4","2.2","79895","8920","98892","6864","51.0","(X)","(X)","(X)","(X)","(X)","4588","206","1.0","1.1","2.7","1.5","4.7","2.4","5.9","2.4","8.3","3.2","18.0","4.6","12.4","3.2","26.5","5.0","11.1","3.1","9.5","2.6","93243","12524","108496","8493","(X)","(X)","53.5","(X)","(X)","(X)","3325","254","0.6","0.9","2.1","1.4","3.7","2.0","6.6","3.0","6.5","3.1","13.5","5.0","12.3","3.8","27.4","5.5","14.1","4.0","13.1","3.4","106692","6553","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1937","263","6.4","3.1","7.6","5.7","21.9","8.2","9.5","4.5","9.7","4.4","11.3","6.1","13.1","6.0","14.5","6.8","3.7","3.0","2.5","2.4","43079","14781","66202","14658","(X)","(X)","(X)","(X)","44.8","(X)"
"0600000US2500701585","Aquinnah town, Dukes County, Massachusetts","176","58","1.7","3.1","1.7","2.9","8.5","6.4","6.3","7.0","5.1","5.3","8.5","7.5","27.8","11.7","23.9","10.0","8.5","6.1","8.0","7.0","95625","9652","144298","68496","33.0","(X)","(X)","(X)","(X)","(X)","126","45","3.2","5.7","1.6","3.1","5.6","7.3","2.4","3.9","4.0","5.1","12.7","10.5","23.0","12.0","31.0","13.7","8.7","7.6","7.9","9.8","98500","8616","153144","91324","(X)","(X)","38.9","(X)","(X)","(X)","97","35","0.0","29.4","0.0","29.4","5.2","7.7","3.1","5.1","2.1","3.5","6.2","9.3","21.6","13.7","40.2","17.0","11.3","9.5","10.3","12.8","104844","14718","N","N","(X)","(X)","(X)","(X)","(X)","(X)","50","26","2.0","5.6","2.0","6.9","16.0","15.5","16.0","22.5","4.0","10.2","18.0","18.7","20.0","18.0","6.0","9.8","8.0","8.7","8.0","8.6","66667","44795","115100","74798","(X)","(X)","(X)","(X)","18.0","(X)"
"0600000US2500713800","Chilmark town, Dukes County, Massachusetts","456","96","2.9","2.9","1.8","1.7","11.6","5.8","7.0","7.1","5.3","3.3","8.3","4.6","15.1","7.5","12.9","6.6","15.6","5.3","19.5","5.4","96471","18006","168103","34606","41.0","(X)","(X)","(X)","(X)","(X)","276","64","2.9","3.1","1.1","1.4","3.6","3.7","4.0","4.0","3.3","3.1","1.8","2.4","16.7","10.6","15.9","8.4","22.1","8.2","28.6","8.3","153125","32501","226174","51586","(X)","(X)","44.6","(X)","(X)","(X)","233","57","0.0","13.9","1.3","1.7","4.3","4.3","1.7","2.1","3.9","3.6","0.9","1.8","17.2","12.1","15.5","8.9","23.2","8.7","32.2","9.4","156406","19422","N","N","(X)","(X)","(X)","(X)","(X)","(X)","180","67","2.8","5.3","2.8","3.5","23.9","13.2","15.6","16.3","4.4","4.7","20.0","11.2","11.1","7.1","8.3","10.7","5.6","5.0","5.6","5.2","50227","26572","77616","27219","(X)","(X)","(X)","(X)","31.7","(X)"
"0600000US2500721150","Edgartown town, Dukes County, Massachusetts","1453","199","3.2","4.1","0.6","0.8","5.8","5.0","8.0","5.5","9.8","5.9","21.5","8.4","11.0","5.5","14.1","7.3","6.8","3.9","19.3","6.6","78902","25138","131535","26845","44.5","(X)","(X)","(X)","(X)","(X)","952","143","0.0","3.6","0.0","3.6","0.0","3.6","7.9","6.8","12.6","8.2","18.9","9.2","10.2","6.6","23.1","9.9","7.1","5.0","20.2","7.8","100476","35059","157294","39158","(X)","(X)","42.2","(X)","(X)","(X)","725","154","0.0","4.7","0.0","4.7","0.0","4.7","4.6","5.8","7.0","6.7","14.8","9.0","13.4","8.5","27.3","12.1","9.4","6.6","23.6","10.7","123710","20736","N","N","(X)","(X)","(X)","(X)","(X)","(X)","501","169","9.2","11.9","1.6","2.3","16.8","12.8","8.2","9.6","4.4","6.8","27.5","16.5","11.4","8.4","1.4","2.2","2.8","3.3","16.8","12.8","51695","13283","80089","26002","(X)","(X)","(X)","(X)","44.5","(X)"
"0600000US2500726325","Gosnold town, Dukes County, Massachusetts","26","12","7.7","12.5","0.0","60.4","0.0","60.4","7.7","15.9","7.7","13.0","30.8","22.8","0.0","60.4","23.1","20.4","7.7","11.8","15.4","18.6","-","**","155435","115278","46.2","(X)","(X)","(X)","(X)","(X)","18","10","0.0","72.5","0.0","72.5","0.0","72.5","0.0","72.5","11.1","18.8","22.2","21.9","0.0","72.5","33.3","24.9","11.1","16.8","22.2","26.5","121250","58148","206589","164878","(X)","(X)","44.4","(X)","(X)","(X)","17","9","0.0","74.6","0.0","74.6","0.0","74.6","0.0","74.6","11.8","19.9","23.5","23.8","0.0","74.6","29.4","25.5","11.8","17.8","23.5","30.2","128125","71551","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8","8","25.0","38.1","0.0","100.0","0.0","100.0","25.0","43.7","0.0","100.0","50.0","50.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","50.0","(X)"
"0600000US2500750390","Oak Bluffs town, Dukes County, Massachusetts","1750","232","6.6","4.7","4.0","4.5","4.1","4.3","10.0","5.6","14.3","6.6","10.9","6.0","16.3","7.3","17.5","8.7","7.5","5.1","8.7","5.5","75294","24524","87642","14474","35.9","(X)","(X)","(X)","(X)","(X)","887","139","5.4","6.5","0.0","3.9","3.7","5.5","13.2","10.5","7.6","6.9","12.1","8.5","10.7","7.9","25.0","13.8","9.1","6.4","13.2","10.2","95868","23407","104111","24636","(X)","(X)","36.3","(X)","(X)","(X)","786","142","2.3","3.6","0.0","4.4","4.2","6.1","14.9","11.6","8.5","7.8","11.5","9.3","12.1","9.0","28.2","15.2","8.9","6.8","9.4","9.1","95625","26295","N","N","(X)","(X)","(X)","(X)","(X)","(X)","863","238","7.9","7.0","8.1","8.9","4.4","7.2","6.7","6.2","21.3","10.6","11.6","9.2","22.1","14.0","7.9","8.7","7.1","8.1","2.9","4.8","62578","29725","67681","14903","(X)","(X)","(X)","(X)","34.2","(X)"
"0600000US2500769940","Tisbury town, Dukes County, Massachusetts","1836","190","5.9","4.0","1.6","1.9","11.6","6.8","10.6","5.9","17.4","6.6","15.5","6.6","11.2","6.4","12.5","6.6","7.6","4.7","6.1","3.3","51456","6912","85716","16386","39.4","(X)","(X)","(X)","(X)","(X)","1014","150","1.1","1.8","0.0","3.4","10.3","9.7","8.1","7.6","12.8","7.5","16.8","10.0","12.6","9.7","17.7","9.6","10.7","7.7","10.0","6.1","78816","33308","112184","29308","(X)","(X)","37.6","(X)","(X)","(X)","709","144","0.0","4.8","0.0","4.8","0.0","4.8","2.3","3.9","9.6","7.2","24.0","14.2","10.6","12.2","24.0","12.6","15.4","10.5","14.2","8.6","102708","33270","N","N","(X)","(X)","(X)","(X)","(X)","(X)","822","207","11.9","8.2","3.5","4.4","13.3","10.0","13.7","9.5","23.0","11.8","13.9","9.6","9.4","7.9","6.2","7.4","3.8","4.8","1.3","2.1","41667","8626","52340","9866","(X)","(X)","(X)","(X)","39.5","(X)"
"0600000US2500778235","West Tisbury town, Dukes County, Massachusetts","1068","181","0.9","1.4","6.4","5.7","6.5","6.0","9.1","6.2","1.7","2.7","16.7","8.9","13.4","8.4","25.5","10.7","6.9","5.3","13.0","8.9","95351","26794","111340","25212","30.0","(X)","(X)","(X)","(X)","(X)","720","165","0.0","4.7","0.0","4.7","3.6","5.6","6.8","7.3","0.0","4.7","17.1","10.0","16.3","12.0","32.9","13.5","6.1","5.9","17.2","12.2","108325","11306","131490","31790","(X)","(X)","34.2","(X)","(X)","(X)","619","172","0.0","5.5","0.0","5.5","4.2","6.3","7.9","8.4","0.0","5.5","15.0","10.3","8.9","9.4","38.3","15.4","5.7","6.6","20.0","13.6","109333","12184","N","N","(X)","(X)","(X)","(X)","(X)","(X)","348","145","2.9","4.3","19.5","16.3","12.4","13.8","13.8","10.2","5.2","7.7","15.8","17.2","7.5","11.4","10.1","12.0","8.6","10.4","4.3","5.9","-","**","69650","22238","(X)","(X)","(X)","(X)","21.3","(X)"
"0600000US2500900000","County subdivisions not defined, Essex County, Massachusetts","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"0600000US2500901260","Amesbury Town city, Essex County, Massachusetts","7215","190","4.4","1.7","1.4","0.8","7.1","1.6","5.7","1.7","10.0","2.2","15.7","2.7","13.9","2.7","21.6","2.8","9.8","1.9","10.4","2.2","82468","4800","100890","4404","35.1","(X)","(X)","(X)","(X)","(X)","4613","201","2.3","1.7","0.0","0.8","2.9","1.4","4.1","2.0","8.0","2.4","12.5","3.1","16.0","3.7","25.3","3.8","13.8","2.7","14.9","3.3","104673","8748","122481","6582","(X)","(X)","36.6","(X)","(X)","(X)","3545","244","0.0","1.0","0.0","1.0","1.0","0.9","3.1","2.1","6.6","2.3","11.9","3.2","12.0","3.4","29.6","4.6","16.5","3.4","19.2","4.0","123239","7029","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2602","253","8.0","3.9","3.8","2.3","14.9","4.1","8.5","3.1","13.4","4.7","22.4","5.8","13.2","3.8","11.8","4.6","2.6","1.9","1.3","1.3","51067","6413","58740","5695","(X)","(X)","(X)","(X)","32.1","(X)"
"0600000US2500901465","Andover town, Essex County, Massachusetts","12801","279","2.8","0.9","2.2","0.9","3.0","0.9","3.0","0.9","5.2","1.2","10.6","1.8","8.0","1.4","14.7","2.3","15.0","2.2","35.5","2.6","151334","9025","188785","9920","31.1","(X)","(X)","(X)","(X)","(X)","9573","268","1.3","0.8","0.9","0.7","1.1","0.6","1.7","0.8","3.6","1.3","6.8","1.6","7.4","1.5","14.9","2.8","16.5","2.5","45.6","3.4","183438","12177","222374","13215","(X)","(X)","32.7","(X)","(X)","(X)","8316","339","0.4","0.4","0.4","0.3","0.6","0.4","1.4","0.7","2.4","1.1","6.1","1.4","6.0","1.4","13.0","2.4","17.7","2.7","52.0","3.3","208182","10637","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3228","250","7.1","3.0","7.0","3.0","9.4","3.1","8.0","3.2","10.0","3.3","22.1","5.3","9.8","2.9","13.5","3.6","9.9","3.7","3.2","1.6","58775","7060","81878","11025","(X)","(X)","(X)","(X)","26.4","(X)"
"0600000US2500905595","Beverly city, Essex County, Massachusetts","16443","436","3.8","1.2","6.0","1.6","7.9","1.5","6.7","1.3","8.8","1.5","13.6","1.7","12.3","1.7","15.8","2.0","11.6","1.7","13.5","1.7","80586","4255","112540","6655","42.1","(X)","(X)","(X)","(X)","(X)","9531","409","2.0","0.9","1.9","1.0","3.6","1.3","6.2","1.9","4.6","1.4","13.4","2.3","14.1","2.6","18.6","2.6","15.9","2.5","19.7","2.7","109124","10778","145072","10882","(X)","(X)","43.2","(X)","(X)","(X)","7506","385","0.1","0.2","1.0","0.7","2.4","1.1","3.9","1.6","3.2","1.5","11.4","2.3","14.0","3.0","20.6","2.7","19.1","2.9","24.3","3.3","132643","7160","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6912","507","7.2","2.4","11.6","3.2","13.7","3.2","7.8","2.0","14.1","3.6","14.2","2.7","10.4","2.3","11.8","3.3","5.3","2.0","3.9","1.6","46158","5130","63728","5139","(X)","(X)","(X)","(X)","40.4","(X)"
"0600000US2500907420","Boxford town, Essex County, Massachusetts","2839","118","0.6","1.0","0.0","1.2","1.7","1.5","3.5","2.3","2.4","1.9","6.6","4.3","10.8","3.9","14.2","3.8","16.0","5.7","44.1","7.9","184007","22873","232512","29467","29.0","(X)","(X)","(X)","(X)","(X)","2496","120","0.0","1.4","0.0","1.4","1.2","1.3","0.6","1.0","3.0","2.5","5.5","4.4","10.1","4.0","15.4","4.1","18.2","6.2","46.0","8.3","193676","22671","246039","32975","(X)","(X)","29.1","(X)","(X)","(X)","2386","136","0.0","1.5","0.0","1.5","1.3","1.3","0.0","1.5","2.1","2.0","5.8","4.6","8.5","3.7","15.1","4.4","19.0","6.5","48.2","8.4","198308","21988","N","N","(X)","(X)","(X)","(X)","(X)","(X)","343","134","5.2","8.5","0.0","9.7","5.2","8.1","24.8","16.6","5.2","8.3","7.6","11.4","16.3","15.7","5.2","9.1","0.0","9.7","30.3","19.3","83583","66546","132466","59108","(X)","(X)","(X)","(X)","28.6","(X)"
"0600000US2500916250","Danvers town, Essex County, Massachusetts","10689","303","4.6","1.4","3.9","1.8","4.1","1.5","7.4","1.9","10.4","2.0","12.2","2.0","12.6","2.2","18.6","2.4","13.2","1.9","13.1","2.1","89250","4620","110199","5401","38.0","(X)","(X)","(X)","(X)","(X)","7183","292","2.1","1.5","2.6","2.0","1.5","1.0","4.6","1.4","6.6","1.8","8.5","2.0","14.8","3.1","24.3","3.2","17.5","2.7","17.5","3.2","116046","7820","135203","8542","(X)","(X)","39.5","(X)","(X)","(X)","5502","350","0.5","0.6","2.1","2.3","0.8","0.7","2.0","1.2","5.7","2.1","8.0","2.2","12.0","2.7","25.6","3.9","21.0","3.2","22.4","4.0","137353","7339","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3506","327","10.0","3.3","7.2","3.4","9.6","4.0","13.7","4.3","18.6","5.0","19.3","4.1","9.6","3.2","7.4","2.5","2.2","1.5","2.4","1.4","40288","4717","53756","5070","(X)","(X)","(X)","(X)","32.8","(X)"
"0600000US2500921850","Essex town, Essex County, Massachusetts","1457","109","4.3","3.8","2.4","3.0","2.9","1.8","6.2","3.7","12.8","5.2","13.9","5.0","4.9","3.0","19.9","5.6","11.1","5.2","21.6","5.3","106283","15808","124623","12821","47.8","(X)","(X)","(X)","(X)","(X)","984","72","3.4","4.9","0.0","3.5","0.0","3.5","6.9","4.6","11.8","5.8","11.2","4.7","5.0","3.8","21.2","7.8","13.2","5.8","27.3","7.3","122750","19894","142615","17276","(X)","(X)","41.9","(X)","(X)","(X)","801","100","0.0","4.3","0.0","4.3","0.0","4.3","4.2","3.0","10.4","6.4","10.2","5.0","2.7","3.1","23.8","8.6","15.0","6.5","33.6","8.4","144563","34525","N","N","(X)","(X)","(X)","(X)","(X)","(X)","473","135","6.1","5.5","7.4","9.2","8.9","5.9","4.9","5.4","17.3","10.7","21.4","10.6","4.9","5.1","15.2","11.0","9.1","11.0","4.9","5.2","58506","12900","80713","20980","(X)","(X)","(X)","(X)","60.0","(X)"
"0600000US2500925625","Georgetown town, Essex County, Massachusetts","3295","116","1.4","1.2","3.4","2.4","3.9","1.6","2.6","1.5","8.1","3.1","12.1","3.3","10.3","3.0","18.4","3.6","18.2","3.6","21.8","4.1","128466","12120","138883","10450","35.0","(X)","(X)","(X)","(X)","(X)","2462","124","1.0","1.3","0.5","0.8","1.8","1.7","2.4","1.7","5.3","2.7","9.2","3.3","10.3","3.4","21.4","4.6","21.6","4.8","26.6","5.1","146111","12106","154838","9953","(X)","(X)","36.0","(X)","(X)","(X)","2097","124","0.0","1.7","0.6","0.9","1.6","1.9","0.7","0.8","4.6","2.9","6.2","3.4","9.6","3.2","22.7","5.3","24.4","5.4","29.6","5.9","158050","10763","N","N","(X)","(X)","(X)","(X)","(X)","(X)","833","140","2.4","2.7","11.8","9.0","10.1","5.2","4.7","4.4","18.0","9.0","20.5","8.4","9.2","5.7","8.4","5.3","8.3","4.6","6.6","5.8","53854","14684","86614","23622","(X)","(X)","(X)","(X)","32.2","(X)"
"0600000US2500926150","Gloucester city, Essex County, Massachusetts","13110","311","4.2","1.2","5.1","1.1","9.4","1.4","7.0","1.6","11.4","1.7","14.8","1.8","13.5","2.2","17.6","2.1","7.7","1.4","9.5","1.4","72574","4551","96980","4857","44.5","(X)","(X)","(X)","(X)","(X)","8235","221","2.8","1.2","2.2","0.8","5.6","1.6","5.4","1.6","8.9","1.9","14.1","2.3","14.1","2.3","23.4","3.0","10.2","2.0","13.5","2.1","93479","6845","119728","7694","(X)","(X)","45.8","(X)","(X)","(X)","6561","256","1.6","1.0","0.8","0.5","1.4","0.7","3.8","1.4","8.2","2.1","12.7","2.2","15.6","2.8","27.7","3.5","12.1","2.4","16.0","2.6","107108","3915","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4875","378","7.1","2.4","10.5","2.5","16.2","3.3","11.3","2.8","14.2","2.9","16.2","3.6","12.0","3.4","6.3","1.9","3.6","1.8","2.5","1.2","38117","4018","56176","5828","(X)","(X)","(X)","(X)","42.3","(X)"
"0600000US2500927620","Groveland town, Essex County, Massachusetts","2448","128","3.2","2.1","2.9","2.8","6.9","3.9","2.8","2.0","6.5","4.3","11.9","4.9","12.4","5.5","26.8","6.9","8.5","4.2","18.1","5.9","103125","8316","121425","14141","44.4","(X)","(X)","(X)","(X)","(X)","1810","119","1.4","1.7","0.0","1.9","4.8","4.7","1.5","1.7","4.3","3.1","12.5","5.2","15.0","7.1","28.7","7.4","11.3","5.6","20.5","7.6","118889","21286","134047","14568","(X)","(X)","37.3","(X)","(X)","(X)","1553","124","0.7","1.2","0.0","2.2","4.8","5.4","0.0","2.2","2.8","2.3","9.6","4.4","15.6","7.8","29.5","7.9","13.1","6.5","23.9","8.4","128807","11496","N","N","(X)","(X)","(X)","(X)","(X)","(X)","638","153","8.2","6.9","11.1","10.8","12.7","11.2","6.3","5.9","12.9","12.2","17.2","13.6","5.0","6.0","18.0","13.6","0.0","5.3","8.6","10.1","46406","22406","76820","34633","(X)","(X)","(X)","(X)","62.1","(X)"
"0600000US2500927900","Hamilton town, Essex County, Massachusetts","2719","140","7.5","3.0","2.0","1.6","4.8","2.4","7.6","3.3","3.9","1.8","7.5","2.6","9.1","3.3","15.3","4.1","18.1","3.1","24.2","3.5","127813","20559","143832","11576","37.9","(X)","(X)","(X)","(X)","(X)","2188","93","5.9","2.9","0.5","0.7","4.6","2.5","6.5","3.3","1.9","1.4","7.2","2.7","8.5","3.7","14.9","5.3","20.8","3.7","29.1","4.4","149865","12962","161168","14618","(X)","(X)","40.6","(X)","(X)","(X)","1935","119","5.4","3.3","0.5","0.8","2.8","2.1","5.0","2.6","2.2","1.5","6.4","2.7","8.3","4.0","14.7","5.6","22.8","4.2","31.8","4.5","156250","19711","N","N","(X)","(X)","(X)","(X)","(X)","(X)","531","133","13.9","10.5","8.5","7.7","7.5","4.4","12.1","9.2","11.9","6.9","10.5","7.1","11.3","8.0","15.1","8.0","5.3","4.6","4.0","4.1","46369","14707","67741","14654","(X)","(X)","(X)","(X)","26.6","(X)"
"0600000US2500929405","Haverhill city, Essex County, Massachusetts","24256","503","4.4","0.9","4.9","0.9","7.5","1.1","7.6","1.2","12.7","1.5","16.3","1.7","13.7","1.6","18.4","1.6","8.0","1.1","6.5","1.2","69426","3104","86187","3273","40.6","(X)","(X)","(X)","(X)","(X)","15541","383","4.5","1.4","2.3","1.0","5.5","1.4","7.4","1.6","12.1","1.5","13.6","1.8","14.0","1.9","22.1","2.3","10.2","1.6","8.3","1.5","81675","3612","96853","4512","(X)","(X)","43.0","(X)","(X)","(X)","9567","432","1.0","0.5","0.5","0.4","1.6","0.9","4.1","1.6","9.7","1.7","13.3","2.2","14.4","2.4","28.3","2.9","15.1","2.3","12.0","2.2","108624","5089","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8715","597","7.4","2.0","10.2","2.0","12.2","2.2","9.4","2.1","15.2","2.9","18.5","2.8","12.9","2.3","10.2","2.1","2.3","1.1","1.6","0.8","46095","2272","57507","3325","(X)","(X)","(X)","(X)","33.7","(X)"
"0600000US2500932310","Ipswich town, Essex County, Massachusetts","5761","236","5.6","2.0","2.9","1.2","7.6","2.4","5.1","1.8","8.2","1.8","13.3","2.5","10.8","2.8","18.9","3.0","10.2","2.2","17.4","2.6","93212","6611","124702","11454","39.9","(X)","(X)","(X)","(X)","(X)","3716","178","3.1","1.9","0.3","0.5","2.0","1.6","2.9","1.8","5.7","2.0","14.3","3.4","10.9","2.8","24.2","4.3","14.0","3.2","22.6","4.1","120714","11384","156141","18445","(X)","(X)","38.5","(X)","(X)","(X)","3022","161","2.3","1.7","0.0","1.1","0.5","0.7","2.5","1.9","4.2","1.9","13.8","3.6","8.4","2.8","25.6","4.9","15.8","3.8","26.8","4.9","130208","8179","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2045","293","10.2","4.5","7.7","3.4","17.6","5.6","9.1","3.8","13.3","4.3","11.1","4.6","11.2","5.4","9.7","3.9","4.2","2.5","5.9","3.1","42859","7655","65182","9649","(X)","(X)","(X)","(X)","40.0","(X)"
"0600000US2500934550","Lawrence city, Essex County, Massachusetts","25959","702","10.1","1.2","8.4","1.0","11.3","1.4","11.4","1.7","13.3","1.5","17.4","1.8","12.6","1.5","9.4","1.5","4.2","0.8","2.0","0.7","44613","2300","59685","2686","50.7","(X)","(X)","(X)","(X)","(X)","17919","447","6.1","1.4","5.5","1.1","12.0","1.7","11.5","1.7","14.9","2.1","19.1","1.8","14.2","1.8","9.2","1.6","5.0","1.2","2.4","0.9","49910","3119","64943","3023","(X)","(X)","55.6","(X)","(X)","(X)","8378","454","2.5","1.3","3.6","1.2","7.9","2.4","8.9","2.6","11.5","2.5","22.2","3.3","18.1","3.0","13.7","2.7","7.7","2.2","4.0","1.6","67474","4910","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8040","670","20.9","3.1","15.8","2.5","14.2","2.9","13.1","3.3","8.8","2.0","13.2","2.6","6.4","2.2","5.3","2.2","1.6","1.0","0.8","0.6","23472","4897","39199","3698","(X)","(X)","(X)","(X)","35.4","(X)"
"0600000US2500937490","Lynn city, Essex County, Massachusetts","32599","612","9.6","1.0","6.4","0.9","9.4","1.1","8.1","1.0","12.7","1.2","16.0","1.3","13.6","1.3","13.9","1.3","6.3","0.9","3.8","0.6","56181","3412","71597","2237","47.6","(X)","(X)","(X)","(X)","(X)","21203","482","5.7","1.0","2.6","0.7","8.3","1.4","7.9","1.4","13.8","1.9","17.1","2.0","15.5","1.7","16.9","1.6","7.9","1.1","4.4","0.8","68177","4559","81423","2615","(X)","(X)","51.9","(X)","(X)","(X)","12435","584","1.8","0.5","1.0","0.6","3.2","1.0","7.1","1.6","12.3","2.4","16.1","2.3","17.5","2.2","22.9","2.3","11.6","1.7","6.6","1.4","86584","4792","100952","4455","(X)","(X)","(X)","(X)","(X)","(X)","11396","644","18.4","2.3","14.0","2.1","14.1","2.3","9.3","1.7","11.1","1.6","14.7","2.5","8.0","1.5","6.4","1.5","2.5","1.0","1.4","0.6","29162","3831","44999","3285","(X)","(X)","(X)","(X)","37.5","(X)"
